apt_name,apt_address,apt_coordinates,apt_score,university_name,university_coordinates,university_score,supermarket_name,supermarket_coordinates,supermarket_score,gas_station_name,gas_station_coordinates,gas_station_score,gym_name,gym_coordinates,gym_score,subway_station_name,subway_station_coordinates,subway_station_score,bus_station_name,bus_station_coordinates,bus_station_score,drugstore_name,drugstore_coordinates,drugstore_score,pharmacy_name,pharmacy_coordinates,pharmacy_score,convenience_store_name,convenience_store_coordinates,convenience_store_score,restaurant_name,restaurant_coordinates,restaurant_score,police_name,police_coordinates,police_score,park_name,park_coordinates,park_score,cafe_name,cafe_coordinates,cafe_score,bank_name,bank_coordinates,bank_score
Cortland Oleander,10 Executive Park W Atlanta GA 30329,"(33.8259566, -84.3362952)",0.0,Emory University School of Medicine,"(33.8278773, -84.3423287)",1.0950017958906703e-05,Publix Super Market at Cheshire Square,"(33.818479, -84.34902129999999)",0.0031057779308941505,Shell,"(33.8244506, -84.33456919999999)",0.0,Athletic Club Northeast,"(33.8237886, -84.337858)",0.0,None,None,nan,Lavista Rd NE & Briarcliff Rd NE,"(33.815615, -84.334896)",0.0,Walgreens,"(33.8282941, -84.32993080000001)",0.0,CVS Pharmacy,"(33.8283815, -84.32439579999999)",0.0,Walgreens,"(33.8282941, -84.32993080000001)",0.0,Mellow Mushroom Atlanta - Emory,"(33.816166, -84.332824)",0.0,None,None,nan,Historic Preservation Division- Georgia Department of Natural Resources,"(33.82685819999999, -84.3425348)",1.2940930315071557e-05,Cafe Bombay,"(33.8284201, -84.32701709999999)",0.0,Navy Federal Credit Union,"(33.82683060000001, -84.3327016)",0.0
Avana Dunwoody,10 Gentrys Walk Atlanta GA 30341,"(33.9151662, -84.3003863)",0.0,John Casablancas Center,"(33.9213453, -84.3102282)",0.0,H Mart Doraville,"(33.9080556, -84.28805559999999)",0.0,bp,"(33.92204379999999, -84.31389999999999)",0.0,SWEET SCIENCE FITNESS BOXING CLUB,"(33.9080261, -84.2879694)",0.0,None,None,nan,None,None,nan,CVS,"(33.9058056, -84.2952167)",0.0,CVS Pharmacy,"(33.9058169, -84.29522899999999)",0.0,bp,"(33.92204379999999, -84.31389999999999)",0.0,Bowlmor Atlanta,"(33.9190815, -84.2991584)",0.0,None,None,nan,Park at Pernoshal Court,"(33.9265057, -84.3078264)",0.0,Sterling Spoon Culinary Management,"(33.921066, -84.31722119999999)",0.0,Bank of America Financial Center,"(33.924588, -84.3142228)",0.0
10 Perimeter Park,10 Perimeter Park Dr Atlanta GA 30341,"(33.918275, -84.29454899999999)",0.0,John Casablancas Center,"(33.9213453, -84.3102282)",0.0,H Mart Doraville,"(33.9080556, -84.28805559999999)",0.0,Shell,"(33.9189088, -84.2968887)",0.0,SWEET SCIENCE FITNESS BOXING CLUB,"(33.9080261, -84.2879694)",0.0,None,None,nan,None,None,nan,CVS,"(33.9058056, -84.2952167)",0.0,CVS Pharmacy,"(33.9058169, -84.29522899999999)",0.0,Shell,"(33.9189088, -84.2968887)",0.0,Oasis Goodtime Emporium,"(33.9214812, -84.28156969999999)",0.0,None,None,nan,Park at Pernoshal Court,"(33.9265057, -84.3078264)",0.0,Starbucks,"(33.921432, -84.314746)",0.0,Bank of America Financial Center,"(33.924588, -84.3142228)",0.0
SkyHouse South,100 6th St Atlanta GA 30308,"(33.77791, -84.3829257)",0.5431152104590213,Georgia Institute of Technology,"(33.77561779999999, -84.39628499999999)",0.20016595958384983,Trader Joe's,"(33.7796552, -84.36791029999999)",0.05810240547416838,Boulevard Food Mart,"(33.7643807, -84.37236419999999)",0.071030100087431,LA Fitness,"(33.77744300000001, -84.38912309999999)",0.08637162298503538,Midtown,"(33.7811167, -84.38634789999999)",0.182340092968408,Midtown Station,"(33.78111, -84.386697)",0.12475901097838442,Walgreens,"(33.7707331, -84.3812556)",0.1200466239191152,"Vincent M. Poteet, PharmD","(33.7684926, -84.38611739999999)",0.2560804720450003,Walgreens,"(33.7707331, -84.3812556)",0.1200466239191152,Hyatt Regency Atlanta,"(33.7613755, -84.38735559999999)",0.340068809638559,POST #1,"(33.7645868, -84.3919418)",0.19793786644202002,Atlanta Botanical Garden,"(33.790468, -84.3736193)",0.17453450665114476,Barnes & Noble at Georgia Tech,"(33.7766667, -84.38861109999999)",0.08637162298503538,"SBA Direct Loans, LLC","(33.7869047, -84.3826649)",0.14478576510097207
The Drexel Collective,100 Drexel Pt Atlanta GA 30346,"(33.9260411, -84.32880019999999)",0.0,John Casablancas Center,"(33.9213453, -84.3102282)",0.0,Target Grocery,"(33.9308157, -84.3416149)",0.0,bp,"(33.92204379999999, -84.31389999999999)",0.0,Executive Heart,"(33.9218274, -84.3359333)",0.0,Dunwoody,"(33.9212654, -84.34435669999999)",0.0,Dunwoody,"(33.9212654, -84.34435669999999)",0.0,Walmart Pharmacy,"(33.9331393, -84.33326339999999)",0.0,"Ruaa N. Al-Baldawi, PharmD","(33.93094839999999, -84.34139979999999)",0.0,bp,"(33.92204379999999, -84.31389999999999)",0.0,McKendrick's Steak House,"(33.9244523, -84.33540819999999)",0.0,MARTA Police Department- North Precinct,"(33.9220048, -84.3445974)",0.0,Murphey Candler Park,"(33.9126348, -84.324378)",0.0,Barnes & Noble,"(33.92625, -84.34331159999999)",0.0,SunTrust,"(33.9275556, -84.3428993)",0.0
Evergreen Lenox Park,100 Lenox Park Cir NE Atlanta GA 30319,"(33.8474468, -84.3480054)",0.00198624859094948,American College of Rheumatology,"(33.84862010000001, -84.34681049999999)",0.0002105821025917671,Publix Super Market at Lenox Marketplace,"(33.8509984, -84.3597748)",0.005434414053035582,Total Breakthrough Center,"(33.8467351, -84.3588468)",0.004862305565656185,BUCKHEAD FITNESS BOOT CAMP,"(33.84912319999999, -84.3473788)",0.00038606718808490635,Lenox,"(33.8451145, -84.35867139999999)",0.004290197078276786,Brookhaven/Oglethorpe Station,"(33.86025, -84.339147)",0.0012283955984519737,CVS,"(33.8533444, -84.3586985)",0.0060065225404149795,Kroger Pharmacy,"(33.85642, -84.34468299999999)",0.0012283955984519737,CVS,"(33.8533444, -84.3586985)",0.0060065225404149795,Maggiano's Little Italy,"(33.84832859999999, -84.3674279)",0.004825422054931097,Atlanta Police Department Lenox Mall Mini Precinct,"(33.8461774, -84.3615644)",0.004252758984419255,Briarwood Park,"(33.85007179999999, -84.3286876)",0.0012283955984519737,Highland Bakery Buckhead,"(33.84750330000001, -84.3668579)",0.005359907587408817,Bank of America Financial Center,"(33.8502328, -84.3640217)",0.0045581792886922375
Mariposa Lofts,100 Montag Cir Atlanta GA 30307,"(33.7607536, -84.3616485)",0.26439951078762114,Physician's Education Group,"(33.7623748, -84.37149289999999)",0.14088103004604413,Whole Foods Market,"(33.7752338, -84.3658288)",0.16801402064817153,Boulevard Food Mart,"(33.7643807, -84.37236419999999)",0.1323674548104835,X3 Sports - Inman Park,"(33.76208309999999, -84.35991419999999)",0.0666463505309051,King Memorial Transit Station,"(33.7499506, -84.3755863)",0.2235851280491543,Inman Park/Reynoldstown Station - North Loop,"(33.757726, -84.353409)",0.17600475169914315,CVS,"(33.7737168, -84.3652949)",0.15708623676304284,"Rhonda L. Martin, PharmD","(33.7628483, -84.3730977)",0.1461756985048128,Savi Provisions,"(33.7623383, -84.3577923)",0.09839556377329679,The Vortex,"(33.7662559, -84.3492199)",0.14893015550825045,AK Security Services,"(33.761674, -84.35974999999999)",0.05844672021646371,"Martin Luther King, Jr. National Historical Park","(33.7572984, -84.3735856)",0.1510552146271861,Barnes & Noble,"(33.7577778, -84.34888889999999)",0.1896027805143074,Wells Fargo Bank,"(33.77406080000001, -84.36583019999999)",0.1650692812186312
Lakeshore Crossing,100 NE Lakeshore Dr Atlanta GA 30324,"(33.8159933, -84.3649793)",0.22233291518447296,The Creative Circus,"(33.81304599999999, -84.36177599999999)",0.23111252024851073,Publix Super Market at Ansley Mall,"(33.7990623, -84.3718066)",0.1633879692118243,QuikTrip,"(33.82519639999999, -84.3622243)",0.13187631965682614,Atlanta Kick,"(33.83178669999999, -84.3624916)",0.16535267276442023,Lindbergh Center Transit Station,"(33.8231777, -84.3693878)",0.10214420098053485,Lindbergh Station - South Loop/Lindbergh Dr,"(33.82136550000001, -84.3690386)",0.08250108540735507,CVS,"(33.81941679999999, -84.3517813)",0.1272542495692014,CVS Pharmacy,"(33.8240175, -84.3634115)",0.11785869343907868,QuikTrip,"(33.82519639999999, -84.3622243)",0.13187631965682614,SweetWater Brewing Company,"(33.8087194, -84.3801857)",0.14712583409028798,Marta Police Department,"(33.8199444, -84.3680925)",0.11785869343907868,James Hurley Design,"(33.8110632, -84.36642499999999)",0.31255738362693436,McDonald's,"(33.8199047, -84.3518391)",0.13020837293257392,Bank of America Financial Center,"(33.8262661, -84.366568)",0.10990925286814021
Collier Ridge,100 Noble Creek Dr Atlanta GA 30327,"(33.8143232, -84.4244954)",0.013075252886764085,Beyond Education University,"(33.803882, -84.435037)",0.02179345393389273,Publix Super Market at Howell Mill Village,"(33.81024190000001, -84.41469699999999)",0.017865350539212024,bp,"(33.8006312, -84.4257646)",0.03223113837664347,Bangkok Boxing Fitness,"(33.8118892, -84.4205736)",0.010165748916814115,None,None,nan,Procierge,"(33.7991808, -84.43233359999999)",0.04910677156381344,Walmart Pharmacy,"(33.803135, -84.41160359999999)",0.05132568262516239,Kroger Pharmacy,"(33.8020766, -84.41283310000001)",0.06379168760048422,Shell,"(33.81367969999999, -84.426182)",0.0023103974810941195,Nuevo Laredo Cantina,"(33.80944949999999, -84.4367817)",0.009184923032294342,None,None,nan,Atlantis Hydroponics,"(33.8031858, -84.4342021)",0.02574607737697002,Starbucks,"(33.80423, -84.412846)",0.04135287864490493,Chase Bank,"(33.809726, -84.4132348)",0.017865350539212024
Parkway Vista Apartments,100 Parkway Cir S Atlanta GA 30340,"(33.9022989, -84.2379108)",0.0,Stephenson Equipment Co,"(33.899166, -84.25295899999999)",0.0,None,None,nan,QuikTrip,"(33.9025217, -84.2456241)",0.0,Ultimate 48 PERFORMANCE,"(33.8914217, -84.2547632)",0.0,None,None,nan,None,None,nan,None,None,nan,None,None,nan,QuikTrip,"(33.9025217, -84.2456241)",0.0,Subway,"(33.898924, -84.2514456)",0.0,STOP Inc.,"(33.9002922, -84.2426972)",0.0,Pleasantdale Park,"(33.8921787, -84.2327816)",0.0,MILKTEA FLAVOUR,"(33.9062921, -84.2215578)",0.0,None,None,nan
The Residences at Vinings Mountain Apartments,100 Pinhurst Dr Atlanta GA 30339,"(33.8725406, -84.4651334)",0.0,DeVry University,"(33.8778052, -84.46109229999999)",0.0,ALDI,"(33.8839305, -84.4773695)",0.0,bp,"(33.87073880000001, -84.4567333)",0.0,LA Fitness,"(33.8821401, -84.4584323)",0.0,None,None,nan,Cumberland Blvd & Akers Mill Rd SE,"(33.8779191, -84.4648582)",0.0,Walgreens,"(33.88774310000001, -84.47430299999999)",0.0,"Richard F. Lufkin IV, PharmD","(33.86696159999999, -84.4773912)",0.0,Walgreens,"(33.88774310000001, -84.47430299999999)",0.0,Canoe,"(33.85974, -84.455173)",0.0,None,None,nan,Vinings Mountain Apartments Dog Park,"(33.8711482, -84.46744369999999)",0.0,Barnes & Noble,"(33.8799562, -84.4636776)",0.0,affinity bank,"(33.88656829999999, -84.461344)",0.0
Seven Springs Apartments,100 Ridgebrook Way Atlanta GA 30345,"(33.8581565, -84.29304359999999)",0.0,South College Atlanta,"(33.8478187, -84.30572839999999)",0.0,ALDI,"(33.8580448, -84.3103963)",0.0,QuikTrip,"(33.8615495, -84.3089823)",0.0,Fit4LyF,"(33.8542639, -84.2964598)",0.0,None,None,nan,Bus Stop,"(33.8678512, -84.30219319999999)",0.0,CVS,"(33.865082, -84.3088178)",0.0,Encompass RX,"(33.85757239999999, -84.2962878)",0.0,Dekalb Convenience,"(33.86031419999999, -84.2934054)",0.0,La Costilla Grill Atlanta,"(33.8586111, -84.30916669999999)",0.0,None,None,nan,Charles McDaniel Park,"(33.8497114, -84.2914022)",0.0,ChocoLate Coffee,"(33.8621953, -84.2875445)",0.0,Chase Bank,"(33.8552055, -84.31323619999999)",0.0
The Atlantic Brookhaven,100 Windmont Dr Atlanta GA 30329,"(33.8536009, -84.3145832)",0.0,Technical College System of Georgia,"(33.848633, -84.31409)",0.0,ALDI,"(33.8580448, -84.3103963)",0.0,bp,"(33.8415871, -84.31414430000001)",0.0,Obey Fitness,"(33.842146, -84.317667)",0.0,None,None,nan,Buford Hwy NE & 3799,"(33.85542160000001, -84.31461499999999)",0.0,CVS,"(33.865082, -84.3088178)",0.0,Sam's Club Pharmacy,"(33.8424401, -84.3113958)",0.0,CVS,"(33.865082, -84.3088178)",0.0,Desta Ethiopian Kitchen,"(33.8379129, -84.310383)",0.0,None,None,nan,Briarwood Park,"(33.85007179999999, -84.3286876)",0.0,Therapy Lounge,"(33.837232, -84.30975769999999)",0.0,Chase Bank,"(33.8552055, -84.31323619999999)",0.0
The Brookhaven Collection,1000 Barone Ave Atlanta GA 30329,"(33.842567, -84.31744359999999)",0.0,Technical College System of Georgia,"(33.848633, -84.31409)",0.0,ALDI,"(33.8580448, -84.3103963)",0.0,bp,"(33.8415871, -84.31414430000001)",0.0,Obey Fitness,"(33.842146, -84.317667)",0.0,None,None,nan,Buford Hwy NE & 3799,"(33.85542160000001, -84.31461499999999)",0.0,Walgreens,"(33.8282941, -84.32993080000001)",0.0,CVS Pharmacy,"(33.8283815, -84.32439579999999)",0.0,Walgreens,"(33.8282941, -84.32993080000001)",0.0,Desta Ethiopian Kitchen,"(33.8379129, -84.310383)",0.0,None,None,nan,Briarwood Park,"(33.85007179999999, -84.3286876)",0.0,Cafe Bombay,"(33.8284201, -84.32701709999999)",0.0,Chase Bank,"(33.8552055, -84.31323619999999)",0.0
One K,1000 Gables Way NE Atlanta GA 30329,"(33.8321879, -84.32156429999999)",0.0,Catapult Acting Studios,"(33.8352663, -84.3241594)",0.0,El Progreso Supermarket,"(33.8371865, -84.33504219999999)",0.0,bp,"(33.8415871, -84.31414430000001)",0.0,Athletic Club Northeast,"(33.8237886, -84.337858)",0.0,None,None,nan,None,None,nan,Walgreens,"(33.8282941, -84.32993080000001)",0.0,CVS Pharmacy,"(33.8283815, -84.32439579999999)",0.0,Walgreens,"(33.8282941, -84.32993080000001)",0.0,Desta Ethiopian Kitchen,"(33.8379129, -84.310383)",0.0,None,None,nan,Kittredge Park,"(33.8241279, -84.3284025)",0.0,Cafe Bombay,"(33.8284201, -84.32701709999999)",0.0,Navy Federal Credit Union,"(33.82683060000001, -84.3327016)",0.0
Montage at Embry Hills,1000 Montage Way Atlanta GA 30341,"(33.88240529999999, -84.2482392)",0.0,"McAfee School of Theology, Mercer University","(33.8724599, -84.26279389999999)",0.0,Brito Supermarket,"(33.8851816, -84.2568117)",0.0,Texaco,"(33.8858409, -84.2500353)",0.0,Stone Summit Climbing Atlanta,"(33.8842752, -84.267595)",0.0,None,None,nan,None,None,nan,None,None,nan,Cardinal Health,"(33.8935894, -84.2643938)",0.0,Texaco,"(33.8858409, -84.2500353)",0.0,Moe's Southwest Grill,"(33.8852214, -84.2482983)",0.0,None,None,nan,Pleasantdale Park,"(33.8921787, -84.2327816)",0.0,Dunkin',"(33.8859818, -84.2487116)",0.0,United Community Bank,"(33.8821595, -84.24603069999999)",0.0
Peachtree Park Apartments,1000 Peachtree Park Dr NE Atlanta GA 30309,"(33.813503, -84.38955)",0.06462044570576794,Miami Ad School @ Portfolio Center,"(33.81213059999999, -84.3962028)",0.01927550973409804,The Fresh Market,"(33.811965, -84.391409)",0.014988287679357875,bp,"(33.8141614, -84.3917087)",0.02056167635052009,Piedmont Atlanta Fitness Center,"(33.8090436, -84.3918952)",0.01927550973409804,None,None,nan,Peachtree Rd NW & Brighton Rd NE,"(33.8082253, -84.3934548)",0.01927550973409804,CVS,"(33.807866, -84.39322589999999)",0.02056167635052009,Walgreens Pharmacy at Piedmont Hospital,"(33.8091725, -84.3957444)",0.023562731788838203,CVS,"(33.807866, -84.39322589999999)",0.02056167635052009,SweetWater Brewing Company,"(33.8087194, -84.3801857)",0.2033350585389789,None,None,nan,Peachtree Hills Community Garden,"(33.8182195, -84.3769987)",0.04739751720122263,Starbucks,"(33.818839, -84.388322)",0.02870271632315827,Bank of America Financial Center,"(33.8194198, -84.3880156)",0.033715883521382904
Wildwood Ridge,1000 Shadowood Pky SE Atlanta GA 30339,"(33.899098, -84.4550397)",0.0,DentalXP,"(33.8853558, -84.4611563)",0.0,None,None,nan,Sam's Mart,"(33.9005658, -84.47601519999999)",0.0,Windy Hill Athletic Club,"(33.9032548, -84.4668248)",0.0,None,None,nan,Windy Ridge Pkwy / 2500 Windy Ridge Building,"(33.903972, -84.457258)",0.0,CVS,"(33.90326909999999, -84.4604592)",0.0,Barnes Healthcare Services - Atlanta,"(33.9008151, -84.45251449999999)",0.0,CVS,"(33.90326909999999, -84.4604592)",0.0,Ray's on the River,"(33.900492, -84.44080199999999)",0.0,None,None,nan,Chattahoochee NRA--Powers Island Unit,"(33.9039013, -84.4420245)",0.0,300 Galleria Cafe,"(33.88628369999999, -84.4624683)",0.0,affinity bank,"(33.88656829999999, -84.461344)",0.0
1000 Spalding Apartment Homes,1000 Spalding Dr Atlanta GA 30350,"(33.9582378, -84.3538763)",0.0,Stephen Grote Photography,"(33.967645, -84.35358880000001)",0.0,Publix Super Market at Trowbridge Crossing,"(33.9609611, -84.3638939)",0.0,Shell,"(33.9549361, -84.36445049999999)",0.0,North Atlanta Church of Christ,"(33.967555, -84.34065799999999)",0.0,North Springs,"(33.9450544, -84.357198)",0.0,North Springs Station,"(33.9451738, -84.3572375)",0.0,Walgreens,"(33.9605136, -84.3662523)",0.0,CVS Pharmacy,"(33.9560023, -84.3639962)",0.0,Walgreens,"(33.9605136, -84.3662523)",0.0,Moe's Southwest Grill,"(33.9509718, -84.3380703)",0.0,Sandy Springs Police Department (SSPD),"(33.9703987, -84.3616397)",0.0,Dunwoody Park,"(33.9566323, -84.33316719999999)",0.0,Starbucks,"(33.949342, -84.335786)",0.0,Chase Bank,"(33.949746, -84.336623)",0.0
Tens on West,1010 W Peachtree St NW Atlanta GA 30309,"(33.7817916, -84.3886795)",0.5431152104590213,Georgia Institute of Technology,"(33.77561779999999, -84.39628499999999)",0.12103623178647088,Publix Super Market at The Plaza Midtown,"(33.7804802, -84.388809)",0.05758108199002358,Chevron,"(33.77285999999999, -84.3815073)",0.2781720906601762,LA Fitness,"(33.77744300000001, -84.38912309999999)",0.06717792898836085,Midtown,"(33.7811167, -84.38634789999999)",0.0767747759866981,West Peachtree St at Peachtree Pl,"(33.78061, -84.38733700000002)",0.12475901097838442,Walgreens,"(33.7707331, -84.3812556)",0.3110365739997312,Publix Pharmacy In Atlantic Station,"(33.7927067, -84.3979691)",0.08893818682669116,Walgreens,"(33.7707331, -84.3812556)",0.3110365739997312,The Varsity,"(33.7715946, -84.3893032)",0.17514210038468828,Georgia Tech Police Department,"(33.7811486, -84.4037362)",0.06441388279066901,Atlanta Botanical Garden,"(33.790468, -84.3736193)",0.19750989547803013,Barnes & Noble at Georgia Tech,"(33.7766667, -84.38861109999999)",0.06717792898836085,Wells Fargo Bank,"(33.7915532, -84.3940369)",0.09143396836157494
Catalyst,1011 Northside Dr NW Atlanta GA 30318,"(33.7823167, -84.4071477)",0.21305895902288177,Georgia Institute of Technology,"(33.77561779999999, -84.39628499999999)",0.1375968941946212,Publix Super Market at The Plaza Midtown,"(33.7804802, -84.388809)",0.10539355663131827,bp,"(33.7863606, -84.3979784)",0.02331552947111669,LA Fitness,"(33.77744300000001, -84.38912309999999)",0.11499040362965553,Midtown,"(33.7811167, -84.38634789999999)",0.12162503222534743,Crabapple Commons,"(33.7944591, -84.40729449999999)",0.04686348298725876,None,None,nan,Publix Pharmacy In Atlantic Station,"(33.7927067, -84.3979691)",0.04940307662969254,bp,"(33.7863606, -84.3979784)",0.02331552947111669,West Egg Cafe,"(33.7845189, -84.4121053)",0.05350897977758624,Police Internal Investigations,"(33.7808852, -84.41779079999999)",0.08540574542048518,Georgia Tech Community Garden,"(33.7753926, -84.40110229999999)",0.1167073209362422,West Egg Cafe,"(33.7845189, -84.4121053)",0.05350897977758624,Wells Fargo Bank,"(33.7915532, -84.3940369)",0.04762461532356948
1016 Lofts,1016 Howell Mill Rd NW Atlanta GA 30318,"(33.7824067, -84.4118462)",0.12034243182930546,Georgia Institute of Technology,"(33.77561779999999, -84.39628499999999)",0.1461242790334629,Publix Super Market In Atlantic Station,"(33.7927262, -84.397981)",0.07601546613071493,bp,"(33.7729175, -84.4107167)",0.11389540840503502,Georgia Tech Campus Recreation Center,"(33.7755602, -84.40356510000001)",0.12144837281941602,Bankhead Transit Station,"(33.772255, -84.42894)",0.15114015478180093,Crabapple Commons,"(33.7944591, -84.40729449999999)",0.07042829631176196,None,None,nan,Publix Pharmacy In Atlantic Station,"(33.7927067, -84.3979691)",0.07601546613071493,bp,"(33.7729175, -84.4107167)",0.11389540840503502,West Egg Cafe,"(33.7845189, -84.4121053)",0.012758706257159583,Police Internal Investigations,"(33.7808852, -84.41779079999999)",0.06804643337151774,Georgia Tech Community Garden,"(33.7753926, -84.40110229999999)",0.14780163883727712,West Egg Cafe,"(33.7845189, -84.4121053)",0.012758706257159583,Wells Fargo Bank,"(33.7915532, -84.3940369)",0.07515955305763025
MAA Gardens,1020 Lenox Park Blvd NE Atlanta GA 30319,"(33.8489214, -84.3488696)",0.00198624859094948,American College of Rheumatology,"(33.84862010000001, -84.34681049999999)",0.0002807761367890228,Publix Super Market at Lenox Marketplace,"(33.8509984, -84.3597748)",0.005083443882049304,Total Breakthrough Center,"(33.8467351, -84.3588468)",0.00432063256554344,BUCKHEAD FITNESS BOOT CAMP,"(33.84912319999999, -84.3473788)",0.00017548508549313922,Lenox,"(33.8451145, -84.35867139999999)",0.004511335394669906,Brookhaven/Oglethorpe Station,"(33.86025, -84.339147)",0.0014038806839451127,CVS,"(33.8533444, -84.3586985)",0.0056555523694287015,Kroger Pharmacy,"(33.85642, -84.34468299999999)",0.0014038806839451127,CVS,"(33.8533444, -84.3586985)",0.0056555523694287015,Maggiano's Little Italy,"(33.84832859999999, -84.3674279)",0.004855857542197751,Atlanta Police Department Lenox Mall Mini Precinct,"(33.8461774, -84.3615644)",0.004359549547754154,Clack's Corner Park,"(33.8573151, -84.3313652)",0.0014038806839451127,Highland Bakery Buckhead,"(33.84750330000001, -84.3668579)",0.005390343074675471,Bank of America Financial Center,"(33.8502328, -84.3640217)",0.0045504372379247685
Azure on The Park,1020 Piedmont Ave NE Atlanta GA 30309,"(33.7825242, -84.3805988)",0.5431152104590213,Georgia Institute of Technology,"(33.77561779999999, -84.39628499999999)",0.19799405487936483,Trader Joe's,"(33.7796552, -84.36791029999999)",0.1253985993693501,Chevron,"(33.77285999999999, -84.3815073)",0.21501631011152414,LA Fitness,"(33.77744300000001, -84.38912309999999)",0.17400394208288253,Midtown,"(33.7811167, -84.38634789999999)",0.26997241206625516,Midtown Station,"(33.78111, -84.386697)",0.1836007890812198,Walgreens,"(33.7707331, -84.3812556)",0.2132236998913311,"Vincent M. Poteet, PharmD","(33.7684926, -84.38611739999999)",0.32596805945542356,Walgreens,"(33.7707331, -84.3812556)",0.2132236998913311,The Varsity,"(33.7715946, -84.3893032)",0.3300420017999668,None,None,nan,Atlanta Botanical Garden,"(33.790468, -84.3736193)",0.0899318457363441,Twelve Eighty,"(33.78954039999999, -84.38495139999999)",0.05731755630852639,"SBA Direct Loans, LLC","(33.7869047, -84.3826649)",0.054876217975467496
The Preserve at Collier Ridge,1021 Harwell Rd NW Atlanta GA 30318,"(33.7820984, -84.49431829999999)",0.11686003811762681,None,None,nan,Buy Low Super Market,"(33.77773390000001, -84.4750682)",0.04274468179904701,Petro Travel Center,"(33.78636420000001, -84.4902524)",0.029138630191248096,Ainfox,"(33.7961211, -84.50309659999999)",0.029253525320235254,None,None,nan,None,None,nan,Dollar General,"(33.7775931, -84.47749379999999)",0.051546758631515435,None,None,nan,Petro Travel Center,"(33.78636420000001, -84.4902524)",0.029138630191248096,Burger King,"(33.7865315, -84.4915032)",0.029155043781103406,Atlanta Police Department License and Permits,"(33.7954343, -84.5016934)",0.029253525320235254,Jennie Drake Park,"(33.7724499, -84.4859147)",0.0521777866229626,Gold Twister Coffee Shop,"(33.7892393, -84.48817179999999)",0.029492152871307107,Archive America,"(33.79617269999999, -84.50307269999999)",0.029253525320235254
Avana Westside,1040 Huff Rd Atlanta GA 30318,"(33.7886183, -84.4214519)",0.188031505811071,Department Applied Research,"(33.7813024, -84.40356969999999)",0.21209330890086603,Family Dollar,"(33.7727142, -84.4149278)",0.1747671893297112,bp,"(33.8006312, -84.4257646)",0.07576882141955031,On The Move Fitness Optimal Performance Training,"(33.7920485, -84.40476629999999)",0.17253659167240662,Bankhead Transit Station,"(33.772255, -84.42894)",0.16118298750914775,Procierge,"(33.7991808, -84.43233359999999)",0.09495639886244558,Walmart Pharmacy,"(33.803135, -84.41160359999999)",0.1526787868768402,Kroger Pharmacy,"(33.8020766, -84.41283310000001)",0.14270598289658273,Circle K,"(33.8006248, -84.42543890000002)",0.07576882141955031,FLIP burger boutique,"(33.7983428, -84.4157486)",0.12525357593113218,Police Internal Investigations,"(33.7808852, -84.41779079999999)",0.12585170997683873,Avery Park Property,"(33.7946264, -84.40732899999999)",0.1814288982030219,West Egg Cafe,"(33.7845189, -84.4121053)",0.144841800626264,Ameris Bank,"(33.79804299999999, -84.4158731)",0.1152807719508747
Sentral West Midtown at Star Metals,1050 Howell Mill Rd Atlanta GA 30318,"(33.7831799, -84.413204)",0.12034243182930546,Georgia Institute of Technology,"(33.77561779999999, -84.39628499999999)",0.1273167889693116,Publix Super Market In Atlantic Station,"(33.7927262, -84.397981)",0.07458499456132875,bp,"(33.7729175, -84.4107167)",0.12922943374250095,Georgia Tech Campus Recreation Center,"(33.7755602, -84.40356510000001)",0.12716572429749784,Bankhead Transit Station,"(33.772255, -84.42894)",0.12889550024223834,Crabapple Commons,"(33.7944591, -84.40729449999999)",0.07991040007810965,None,None,nan,Publix Pharmacy In Atlantic Station,"(33.7927067, -84.3979691)",0.07458499456132875,bp,"(33.7729175, -84.4107167)",0.12922943374250095,West Egg Cafe,"(33.7845189, -84.4121053)",0.012758706257159583,Police Internal Investigations,"(33.7808852, -84.41779079999999)",0.06379353128579789,English Avenue Urban Farm,"(33.7701551, -84.41718449999999)",0.10751022971533565,West Egg Cafe,"(33.7845189, -84.4121053)",0.012758706257159583,Wells Fargo Bank,"(33.7915532, -84.3940369)",0.07102807194908264
Aspire Lenox Park,1050 Lenox Park Blvd NE Atlanta GA 30319,"(33.8516843, -84.34931929999999)",0.00198624859094948,American College of Rheumatology,"(33.84862010000001, -84.34681049999999)",0.001815721829464698,Publix Super Market at Lenox Marketplace,"(33.8509984, -84.3597748)",0.006738898369654187,Total Breakthrough Center,"(33.8467351, -84.3588468)",0.0057853842240218585,BUCKHEAD FITNESS BOOT CAMP,"(33.84912319999999, -84.3473788)",0.0017104307781688145,Lenox,"(33.8451145, -84.35867139999999)",0.0057853842240218585,Brookhaven/Oglethorpe Station,"(33.86025, -84.339147)",0.002482565154338626,CVS,"(33.8533444, -84.3586985)",0.007120304027907118,Kroger Pharmacy,"(33.85642, -84.34468299999999)",0.002482565154338626,CVS,"(33.8533444, -84.3586985)",0.007120304027907118,Maggiano's Little Italy,"(33.84832859999999, -84.3674279)",0.00643514181477854,Atlanta Police Department Lenox Mall Mini Precinct,"(33.8461774, -84.3615644)",0.005938833820334943,Clack's Corner Park,"(33.8573151, -84.3313652)",0.002482565154338626,Highland Bakery Buckhead,"(33.84750330000001, -84.3668579)",0.008189644814950854,Bank of America Financial Center,"(33.8502328, -84.3640217)",0.006472579908636069
